roll,pitch,yaw
307,-13.007539749145508,27.12846565246582,-62.71693420410156
308,-14.05775260925293,27.897003173828125,-63.31024169921875
309,-14.97396183013916,28.22049331665039,-63.875675201416016
310,-15.752118110656738,28.244659423828125,-64.4110107421875
311,-16.367021560668945,28.039934158325195,-64.93473052978516
312,-16.918989181518555,27.86525535583496,-65.41732788085938
313,-17.395450592041016,27.743486404418945,-65.81885528564453
314,-17.73211097717285,27.830730438232422,-66.17868041992188
315,-18.011653900146484,28.056686401367188,-66.57537841796875
316,-18.280399322509766,28.51092529296875,-67.01688385009766
317,-18.616622924804688,29.105928421020508,-67.52660369873047
318,-19.123985290527344,29.56778335571289,-68.0948715209961
319,-19.708253860473633,29.89040184020996,-68.6353988647461
320,-20.25291633605957,29.908632278442383,-68.96682739257812
321,-20.679563522338867,29.845396041870117,-69.20513916015625
322,-20.92788314819336,30.01679229736328,-69.32869720458984
323,-21.20060920715332,30.448877334594727,-69.49832153320312
324,-21.666135787963867,31.129680633544922,-69.8511734008789
325,-22.233890533447266,31.84992790222168,-70.28515625
326,-22.82015609741211,32.23154067993164,-70.78453826904297
327,-23.388973236083984,32.47916793823242,-71.2568588256836
328,-23.899085998535156,32.649967193603516,-71.5625991821289
329,-24.39822769165039,32.84312057495117,-71.92156219482422
330,-24.910858154296875,33.07441329956055,-72.37755584716797
331,-25.376352310180664,33.165802001953125,-72.82630920410156
332,-25.811389923095703,33.15867614746094,-73.2572250366211
333,-26.155895233154297,33.03176498413086,-73.65592193603516
334,-26.517993927001953,33.00077438354492,-73.96887969970703
335,-26.76919174194336,33.06321716308594,-74.19642639160156
336,-26.968673706054688,33.107200622558594,-74.4934310913086
337,-27.280603408813477,33.19831085205078,-74.8680419921875
338,-27.661134719848633,33.345497131347656,-75.28306579589844
339,-27.9777774810791,33.418785095214844,-75.51692199707031
340,-28.177064895629883,33.29505920410156,-75.61744689941406
341,-28.242748260498047,33.03884506225586,-75.66976165771484
342,-28.315593719482422,32.80215072631836,-75.70005798339844
343,-28.48418617248535,32.549068450927734,-75.77400207519531
344,-28.653240203857422,32.25547409057617,-75.89117431640625
345,-28.79305648803711,31.908374786376953,-76.02643585205078
346,-28.914052963256836,31.46512794494629,-76.21033477783203
347,-28.971837997436523,30.884740829467773,-76.28338623046875
348,-28.765989303588867,29.96864128112793,-76.07666015625
349,-28.517953872680664,29.072021484375,-75.89622497558594
350,-28.320405960083008,28.391822814941406,-75.80619049072266
351,-28.150978088378906,27.713088989257812,-75.69659423828125
352,-27.969867706298828,26.748184204101562,-75.45662689208984
353,-27.79636573791504,25.753517150878906,-75.22056579589844
354,-27.847673416137695,24.825227737426758,-75.06503295898438
355,-28.00440788269043,23.870494842529297,-74.9215087890625
356,-28.10881996154785,22.6259708404541,-74.66474914550781
357,-28.117168426513672,21.10940170288086,-74.28645324707031
358,-28.031593322753906,19.441396713256836,-73.83087921142578
359,-28.00684356689453,18.102027893066406,-73.5353775024414
360,-28.19257354736328,17.558828353881836,-73.74211120605469
361,-28.42424964904785,17.093276977539062,-74.00731658935547
362,-28.61730194091797,16.534761428833008,-74.21610260009766
363,-28.619647979736328,15.482061386108398,-74.2260513305664
364,-28.5528564453125,14.14696216583252,-74.13980865478516
365,-28.4417724609375,12.495348930358887,-73.79287719726562
366,-28.372814178466797,10.97381591796875,-73.48660278320312
367,-28.339359283447266,9.914115905761719,-73.41120147705078
368,-28.32191276550293,8.98230266571045,-73.36473846435547
369,-28.292661666870117,7.930968284606934,-73.25822448730469
370,-28.21186065673828,6.655858516693115,-73.04473114013672
371,-28.077810287475586,5.085364818572998,-72.69448852539062
372,-27.954591751098633,3.5182383060455322,-72.37653350830078
373,-27.78952980041504,2.0023043155670166,-72.04845428466797
374,-27.539331436157227,0.6244863271713257,-71.75779724121094
375,-27.303516387939453,-0.8181880116462708,-71.44317626953125
376,-27.125951766967773,-2.3577191829681396,-71.03472137451172
377,-27.030189514160156,-4.1842756271362305,-70.5051040649414
378,-26.983192443847656,-6.053084373474121,-69.9532470703125
379,-27.00790023803711,-7.788605213165283,-69.41071319580078
380,-27.05113983154297,-8.943005561828613,-69.10845184326172
381,-27.012332916259766,-9.777447700500488,-68.9669418334961
382,-26.8759822845459,-10.505964279174805,-68.90218353271484
383,-26.762210845947266,-11.447511672973633,-68.76708221435547
384,-26.63710594177246,-13.091572761535645,-68.46775817871094
385,-26.520898818969727,-15.00646686553955,-68.07179260253906
386,-26.498363494873047,-17.01219940185547,-67.51500701904297
387,-26.5117130279541,-18.810394287109375,-66.97721862792969
388,-26.474817276000977,-20.01641273498535,-66.70140838623047
389,-26.395238876342773,-21.024700164794922,-66.54901885986328
390,-26.346500396728516,-22.082107543945312,-66.43608856201172
391,-26.311988830566406,-23.3283634185791,-66.3121109008789
392,-26.34060287475586,-25.003334045410156,-66.06706237792969
393,-26.399944305419922,-26.826478958129883,-65.7100830078125
394,-26.48773956298828,-28.659587860107422,-65.22602844238281
395,-26.528369903564453,-30.2511043548584,-64.80976867675781
396,-26.54129981994629,-31.666748046875,-64.47174072265625
397,-26.476490020751953,-32.87016296386719,-64.37117004394531
398,-26.43669319152832,-34.021705627441406,-64.29920959472656
399,-26.434099197387695,-35.17961120605469,-64.23687744140625
400,-26.441720962524414,-36.318084716796875,-64.17938995361328
401,-26.4517765045166,-37.297889709472656,-64.1246109008789
402,-26.40374183654785,-38.19108581542969,-64.09040832519531
403,-26.265413284301758,-38.997657775878906,-64.07130432128906
404,-26.118125915527344,-39.773658752441406,-64.09040069580078
405,-26.006895065307617,-40.43532180786133,-64.19512176513672
406,-25.884458541870117,-41.102535247802734,-64.34418487548828
407,-25.84312629699707,-41.812931060791016,-64.37801361083984
408,-25.784154891967773,-42.39564895629883,-64.4446029663086
409,-25.585342407226562,-42.68919372558594,-64.70146942138672
410,-25.392940521240234,-42.90593338012695,-64.9577407836914
411,-25.18654441833496,-43.08183670043945,-65.20572662353516
412,-24.927095413208008,-43.24861526489258,-65.4395980834961
413,-24.64019775390625,-43.3834342956543,-65.71415710449219
414,-24.37013816833496,-43.47972869873047,-66.0412826538086
415,-24.110614776611328,-43.55901336669922,-66.38134765625
416,-23.853464126586914,-43.54008102416992,-66.71196746826172
417,-23.582672119140625,-43.42301940917969,-67.05783081054688
418,-23.234886169433594,-43.09774398803711,-67.47225952148438
419,-22.880538940429688,-42.722023010253906,-67.8630142211914
420,-22.51970100402832,-42.1942138671875,-68.23825073242188
421,-22.12744903564453,-41.561588287353516,-68.66474151611328
422,-21.68798065185547,-40.729759216308594,-69.18348693847656
423,-21.234264373779297,-39.82417297363281,-69.75139617919922
424,-20.777111053466797,-38.82109451293945,-70.40158081054688
425,-20.352581024169922,-37.764495849609375,-71.02345275878906
426,-19.979881286621094,-36.76774978637695,-71.48493194580078
427,-19.64297103881836,-35.7320556640625,-71.87955474853516
428,-19.32682228088379,-34.588356018066406,-72.27909088134766
429,-19.04340362548828,-33.141387939453125,-72.67542266845703
430,-18.805522918701172,-31.525344848632812,-73.01079559326172
431,-18.592294692993164,-29.53717613220215,-73.28857421875
432,-18.33399772644043,-27.436567306518555,-73.63394165039062
433,-17.89744758605957,-25.342628479003906,-74.31344604492188
434,-17.49395179748535,-23.368764877319336,-75.01032257080078
435,-17.2979736328125,-21.698257446289062,-75.55237579345703
436,-17.185632705688477,-19.898929595947266,-76.09883117675781
437,-17.125661849975586,-17.76017189025879,-76.74517059326172
438,-17.107643127441406,-15.631701469421387,-77.34075164794922
439,-17.025774002075195,-13.924396514892578,-77.75946044921875
440,-16.881961822509766,-12.505355834960938,-78.0791015625
441,-16.759685516357422,-11.370856285095215,-78.31584167480469
442,-16.724388122558594,-10.179512977600098,-78.54610443115234
443,-16.800312042236328,-8.513849258422852,-78.89259338378906
444,-16.850906372070312,-6.765405178070068,-79.2627182006836
445,-16.831384658813477,-5.099592208862305,-79.63216400146484
446,-16.748676300048828,-4.1273369789123535,-79.91275787353516
447,-16.68843650817871,-3.4836769104003906,-80.12957000732422
448,-16.754718780517578,-3.13377046585083,-80.3080062866211
449,-16.87415313720703,-2.7190170288085938,-80.4969711303711
450,-17.03130531311035,-1.7994136810302734,-80.79220581054688
451,-17.160432815551758,-0.672971785068512,-81.19572448730469
452,-17.2694034576416,0.4078699052333832,-81.68563842773438
453,-17.458087921142578,1.2349169254302979,-82.1205825805664
454,-17.715633392333984,1.7915260791778564,-82.42172241210938
455,-17.93308448791504,2.3661394119262695,-82.68104553222656
456,-18.159929275512695,3.2304134368896484,-82.91059112548828
457,-18.45526695251465,4.283941268920898,-83.19510650634766
458,-18.824764251708984,5.419254779815674,-83.57445526123047
459,-19.177446365356445,6.535455226898193,-83.98202514648438
460,-19.48723602294922,7.6109113693237305,-84.39559173583984
461,-19.7335205078125,8.650795936584473,-84.83917999267578
462,-20.004438400268555,9.63071346282959,-85.29747772216797
463,-20.353425979614258,10.399592399597168,-85.70220947265625
